ID|NOMBRE|EDAD|SALARIO
1|Carl|32|20095
2|Priscilla|34|9298
3|Jocelyn|27|10853
4|Aidan|29|3387
5|Leandra|41|22102
6|Bert|70|7800
7|Mark|52|8112
8|Jonah|23|17040
9|Hanae|69|6834
10|Cadman|19|7996
11|Melyssa|48|4913
12|Tanner|24|19943
13|Trevor|34|9501
14|Allen|59|16289
15|Wanda|27|1539
16|Alden|26|3377
17|Omar|60|6851
18|Owen|34|4759
19|Laura|70|17403
20|Emery|24|18752
21|Carissa|31|1952
22|Kibo|22|7449
23|Samson|51|8099
24|Amaya|24|1801
25|Pearl|52|14756
26|Brenden|33|20549
27|Alexander|55|13813
28|Stephen|53|9469
29|Jana|39|6483
30|Clayton|52|9505
31|Rylee|47|21591
32|Gisela|67|6497
33|Jin|42|22038
34|Lila|48|24305
35|Aurora|54|4588
36|Keely|41|10373
37|Inga|41|8562
38|Irma|58|6747
39|Carolyn|64|22838
40|Ross|67|14285
41|Wynne|31|19522
42|Wanda|42|5419
43|Yetta|61|21452
44|Azalia|27|16735
45|Kylynn|22|7040
46|Camden|30|7860
47|Vernon|35|7109
48|Illiana|18|1454
49|Logan|63|4963
50|Ross|31|19092
51|Damon|49|2669
52|Whoopi|22|23051
53|Zachery|22|23820
54|Lars|25|20573
55|Jennifer|64|19013
56|Colby|19|15496
57|Jillian|47|13445
58|Igor|37|6191
59|Quemby|26|12092
60|Bernard|27|10825
61|Abel|33|15070
62|Amelia|35|6042
63|Sade|70|11112
64|Graiden|28|22037
65|Nehru|34|12423
66|Adrian|46|22953
67|Buffy|38|15116
68|Hayes|31|7523
69|Halee|30|16782
70|Suki|43|12029
71|Doris|23|11538
72|Tallulah|46|9867
73|Fiona|42|9960
74|Kaitlin|56|6515
75|Nyssa|53|2284
76|Omar|34|12163
77|Brynne|22|16551
78|Lenore|57|1483
79|Philip|51|3919
80|Ebony|59|3600
81|Joy|19|1256
82|Cally|67|24575
83|Giselle|45|2503
84|Keith|33|13348
85|Kennedy|41|7272
86|Jack|58|14473
87|Karly|25|3715
88|Zeus|29|21556
89|Kelly|55|10110
90|Sigourney|42|9145
91|Erica|32|8934
92|Lesley|19|23547
93|Althea|24|8818
94|Amir|18|20980
95|Jayme|58|23975
96|Amos|42|15855
97|Flavia|27|13473
98|Yuli|57|1336
99|Ray|26|5570
100|Cynthia|57|8682
